Result,Goal Scored,Balll Possession %,Attempts,On-Target,Off-Target,Free Kicks,Pass Accuracy %,Fouls Committed,Yellow Card,Red Card,PSO
0,0,56,10,2,6,11,81,15,2,0,No
0,0,58,10,3,3,26,81,15,3,0,No
1,3,42,15,5,6,18,80,23,4,0,No
1,2,66,23,9,9,14,90,11,2,0,No
0,0,34,4,0,4,14,73,11,1,0,No
1,2,58,16,4,6,10,84,9,1,0,No
0,0,42,10,3,6,10,75,10,0,0,No
0,1,42,12,3,7,15,78,17,4,0,No
1,2,58,20,5,8,17,87,12,1,0,No
1,5,52,23,12,8,16,84,12,0,0,No
0,2,48,15,5,6,15,82,13,1,0,No
0,1,41,17,6,2,7,82,24,4,0,No
1,2,59,13,5,6,24,89,7,0,0,No
1,2,71,16,5,4,15,91,12,0,0,No
0,1,29,8,6,1,17,77,13,2,0,No
1,6,58,12,7,3,13,94,14,1,0,No
0,1,42,8,2,5,17,88,13,3,0,No
0,2,54,7,3,2,18,84,8,2,0,No
0,2,46,14,7,5,10,79,14,3,0,No
0,0,45,9,2,3,11,79,15,2,0,No
1,3,55,13,3,5,16,82,10,0,0,No
1,3,56,17,7,6,20,88,17,1,0,No
0,0,44,3,1,1,17,83,18,1,0,No
1,2,61,22,7,10,19,90,7,0,0,No
0,1,39,8,1,6,8,82,16,2,0,No
0,2,68,16,4,11,18,91,5,0,0,No
0,2,32,6,3,2,6,84,17,6,0,No
0,1,32,8,2,5,12,69,16,2,0,No
0,1,68,14,4,7,17,89,11,4,0,No
0,0,38,5,1,2,11,72,10,1,0,No
0,0,62,11,4,6,11,87,10,0,0,No
0,0,53,14,2,7,13,86,13,4,0,No
1,2,47,4,3,1,16,81,12,2,0,No
0,1,34,9,3,5,17,76,20,2,0,No
1,2,66,8,4,3,20,84,15,3,0,No
0,1,41,17,6,8,12,73,10,3,0,No
1,2,59,13,2,8,11,87,12,2,0,No
1,2,30,11,5,5,8,74,16,4,0,No
0,0,70,26,6,11,16,88,7,0,0,No
0,0,65,19,3,8,11,83,14,3,0,No
1,3,35,13,5,7,16,67,11,2,0,No
0,0,44,10,1,5,11,78,13,3,0,No
1,2,56,13,6,3,15,88,7,0,0,No
0,2,60,12,3,5,15,87,9,3,0,No
0,2,40,14,6,6,10,82,14,3,0,No
0,0,54,10,3,4,8,86,11,1,0,No
1,1,46,11,2,5,12,83,8,0,0,No
0,0,43,8,3,4,18,78,15,1,0,No
1,1,57,4,2,1,18,83,15,1,0,No
0,1,36,9,4,4,20,77,18,3,0,No
1,2,64,15,7,4,22,87,19,3,0,No
0,0,48,13,1,7,15,88,11,0,0,No
1,1,52,15,4,4,14,88,14,2,0,No
1,4,41,9,4,4,16,84,21,3,0,No
0,3,59,9,4,1,21,86,15,5,0,No
1,2,39,6,3,2,14,69,13,0,0,No
0,1,61,20,5,1,13,84,13,1,0,No
0,1,75,25,9,6,20,91,5,1,0,Yes
1,1,25,6,1,3,6,72,19,2,0,Yes
1,1,54,22,7,8,19,81,5,0,0,Yes
0,1,46,15,3,10,7,79,19,1,0,Yes
1,2,47,21,10,7,20,83,6,2,0,No
0,0,53,13,1,4,6,85,18,4,0,No
1,3,56,24,8,10,10,87,13,0,0,No
0,2,44,11,4,4,14,83,9,1,0,No
1,1,37,12,3,6,13,73,11,1,0,No
0,0,63,18,4,5,12,84,13,2,1,No
0,1,48,14,4,7,15,78,23,6,0,Yes
1,1,51,16,2,9,24,82,13,2,0,Yes
0,0,42,11,4,6,15,67,17,2,0,No
1,2,58,11,2,7,17,81,15,2,0,No
0,1,57,26,9,7,16,89,14,2,0,No
1,2,43,8,3,3,15,83,16,2,0,No
0,0,43,7,3,3,8,74,10,2,0,No
1,2,57,12,2,4,12,80,7,1,0,No
0,2,38,13,7,4,18,69,25,1,0,Yes
1,2,62,17,3,10,26,82,18,4,0,Yes
1,1,40,19,5,8,17,86,6,2,0,No
0,0,60,9,3,5,7,90,16,3,0,No
1,2,54,22,7,11,17,79,23,2,0,No
0,1,46,11,1,6,24,79,14,1,0,No
1,2,43,12,4,3,5,88,11,1,0,No
0,0,57,15,5,7,12,92,5,2,0,No
1,4,39,8,6,1,14,75,14,2,0,No
0,2,61,15,3,8,15,83,13,1,0,No
